experiment,round,loss,accuracy,num_clients,distribution,algo,epochs
Outliers_10pct,1,0.8092380166053772,0.8178571462631226,10,outliers,fedavg,3
Outliers_10pct,2,0.5014501214027405,0.8621428608894348,10,outliers,fedavg,3
Outliers_10pct,3,0.41427022218704224,0.8849999904632568,10,outliers,fedavg,3
Outliers_10pct,4,0.3733232021331787,0.892380952835083,10,outliers,fedavg,3
Outliers_10pct,5,0.34584304690361023,0.9007142782211304,10,outliers,fedavg,3
Outliers_20pct,1,0.8353955149650574,0.805476188659668,10,outliers,fedavg,3
Outliers_20pct,2,0.49988991022109985,0.864047646522522,10,outliers,fedavg,3
Outliers_20pct,3,0.4077313244342804,0.8847619295120239,10,outliers,fedavg,3
Outliers_20pct,4,0.3650718629360199,0.8959524035453796,10,outliers,fedavg,3
Outliers_20pct,5,0.3400725722312927,0.9023809432983398,10,outliers,fedavg,3
Outliers_30pct,1,0.8464460968971252,0.807619035243988,10,outliers,fedavg,3
Outliers_30pct,2,0.49759992957115173,0.863095223903656,10,outliers,fedavg,3
Outliers_30pct,3,0.4084300696849823,0.8816666603088379,10,outliers,fedavg,3
Outliers_30pct,4,0.3678336441516876,0.8926190733909607,10,outliers,fedavg,3
Outliers_30pct,5,0.34301209449768066,0.9004762172698975,10,outliers,fedavg,3
